species,scientific_name,genus,family,geophyte,notes,geophyte2,geoannper
aconitum_columbianum,Aconitum_columbianum,Aconitum,Ranunculaceae,Y, ,Y,geoper
allium_acuminatum,Allium_acuminatum,Allium,Amaryllidaceae,Y,,Y,geoper
allium_campanulatum,Allium_campanulatum,Allium,Amaryllidaceae,Y,,Y,geoper
allium_cernuum,Allium_cernuum,Allium,Amaryllidaceae,Y,,Y,geoper
allium_falcifolium,Allium_falcifolium,Allium,Amaryllidaceae,Y,,Y,geoper
anisocoma_acaulis,Anisocoma_acaulis,Anisocoma,Asteraceae,N,,N,anbien
aquilegia_coerulea,Aquilegia_coerulea,Aquilegia,Ranunculaceae,N,,N,ngper
aquilegia_flavescens,Aquilegia_flavescens,Aquilegia,Ranunculaceae,N,,N,ngper
aquilegia_formosa,Aquilegia_formosa,Aquilegia,Ranunculaceae,N,,N,ngper
argemone_munita,Argemone_munita,Argemone,Papaveraceae,N,,N,anbien
balsamorhiza_sagittata,Balsamorhiza_sagittata,Balsamorhiza,Asteraceae,N,,N,ngper
bistorta_bistortoides,Bistorta_bistortoides,Bistorta,Polygonaceae,N,,N,ngper
calochortus_bruneaunis,Calochortus_bruneaunis,Calochortus,Liliaceae,Y,,Y,geoper
calochortus_eurycarpus,Calochortus_eurycarpus,Calochortus,Liliaceae,Y,,Y,geoper
calochortus_gunnisonni,Calochortus_gunnisonni,Calochortus,Liliaceae,Y,,Y,geoper
calochortus_invenustus,Calochortus_invenustus,Calochortus,Liliaceae,Y,,Y,geoper
calochortus_leichtlinii,Calochortus_leichtlinii,Calochortus,Liliaceae,Y,,Y,geoper
calochortus_minimus,Calochortus_minimus,Calochortus,Liliaceae,Y,,Y,geoper
calochortus_monophyllus,Calochortus_monophyllus,Calochortus,Liliaceae,Y,,Y,geoper
calochortus_nuttallii,Calochortus_nuttallii,Calochortus,Liliaceae,Y,,Y,geoper
calochortus_subalpinus,Calochortus_subalpinus,Calochortus,Liliaceae,Y,,Y,geoper
calochortus_superbus,Calochortus_superbus,Calochortus,Liliaceae,Y,,Y,geoper
